level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,1040,407,-1,
2,1,1,0,0,0,524,12,2,39,-1,
3,1,1,1,0,0,524,12,2,39,-1,
4,1,1,1,1,0,524,12,2,39,-1,
5,1,1,1,1,1,524,12,2,39,95, 
2,1,2,0,0,0,21,6,971,139,-1,
3,1,2,1,0,0,21,6,971,139,-1,
4,1,2,1,1,0,21,6,717,33,-1,
5,1,2,1,1,1,21,6,48,33,78,Name:
5,1,2,1,1,2,291,6,70,33,61,i2-Lead2
5,1,2,1,1,3,444,6,39,33,90,HR62
5,1,2,1,1,4,490,6,23,33,90,bpm
5,1,2,1,1,5,521,6,6,33,72,|
5,1,2,1,1,6,530,13,208,16,68,*Normal
5,1,2,1,1,7,598,6,22,33,94,ECG
5,1,2,1,1,8,625,13,113,16,18,“Unconfirmed
4,1,2,1,2,0,22,25,627,33,-1,
5,1,2,1,2,1,22,25,17,33,80,1D:
5,1,2,1,2,2,213,33,72,16,0,a
5,1,2,1,2,3,475,34,45,14,78,14:37:18
5,1,2,1,2,4,523,25,6,33,77,|
5,1,2,1,2,5,530,34,44,14,36,Normal
5,1,2,1,2,6,581,25,25,33,91,sinus
5,1,2,1,2,7,611,25,42,33,87,rhythm
4,1,2,1,3,0,24,44,496,33,-1,
5,1,2,1,3,1,24,54,40,14,96,Patient
5,1,2,1,3,2,69,54,14,14,82,1D;
5,1,2,1,3,3,294,44,24,33,65,"PRO,"
5,1,2,1,3,4,323,44,22,33,65,1388
5,1,2,1,3,5,465,44,30,34,29,"HSB,"
5,1,2,1,3,6,500,44,20,34,69,112s
4,1,2,1,4,0,25,64,495,33,-1,
5,1,2,1,4,1,25,64,49,33,86,Incident:
5,1,2,1,4,2,294,64,35,33,33,w/a
5,1,2,1,4,3,445,64,50,33,0,"0.200s/1,"
5,1,2,1,4,4,498,64,26,33,57,295s
4,1,2,1,5,0,43,85,948,37,-1,
5,1,2,1,5,1,43,96,2,3,0,-
5,1,2,1,5,2,49,85,13,32,74,26
5,1,2,1,5,3,242,93,21,14,60,Sex:
5,1,2,1,5,4,280,85,12,32,5,|
5,1,2,1,5,5,296,85,38,32,5,P-ORS-T
5,1,2,1,5,6,339,85,22,32,66,Aves
5,1,2,1,5,7,462,93,6,14,54,2
5,1,2,1,5,8,484,91,9,16,37,a
5,1,2,1,5,9,503,85,17,32,73,49?
5,1,2,1,5,10,891,97,3,25,90,|
5,1,2,1,5,11,989,89,2,33,94,|
4,1,2,1,6,0,47,109,942,26,-1,
5,1,2,1,6,1,47,110,10,16,34,Ih
5,1,2,1,6,2,151,123,2,12,64,|
5,1,2,1,6,3,774,110,18,16,25,14)
5,1,2,1,6,4,988,109,1,23,95,|
4,1,2,1,7,0,986,130,6,15,-1,
5,1,2,1,7,1,986,130,6,15,0,})
2,1,3,0,0,0,89,142,611,2,-1,
3,1,3,1,0,0,89,142,611,2,-1,
4,1,3,1,1,0,89,142,611,2,-1,
5,1,3,1,1,1,89,142,611,2,95, 
2,1,4,0,0,0,43,108,851,38,-1,
3,1,4,1,0,0,43,108,851,38,-1,
4,1,4,1,1,0,43,108,851,38,-1,
5,1,4,1,1,1,43,124,17,22,37,|
5,1,4,1,1,2,291,108,25,25,33,ave
5,1,4,1,1,3,529,110,17,16,40,Mt
5,1,4,1,1,4,606,129,3,11,36,;
5,1,4,1,1,5,701,126,2,15,34,\
5,1,4,1,1,6,893,123,1,14,72,|
2,1,5,0,0,0,24,194,680,76,-1,
3,1,5,1,0,0,24,194,680,76,-1,
4,1,5,1,1,0,24,194,680,48,-1,
5,1,5,1,1,1,24,195,39,47,26,AG)
5,1,5,1,1,2,151,194,4,34,94,|
5,1,5,1,1,3,289,195,27,40,34,lan
5,1,5,1,1,4,529,206,81,34,28,we
5,1,5,1,1,5,700,206,4,30,68,|
4,1,5,1,2,0,39,222,661,48,-1,
5,1,5,1,2,1,39,222,23,31,58,KI
5,1,5,1,2,2,153,226,33,22,78,A
5,1,5,1,2,3,247,222,44,32,36,AW
5,1,5,1,2,4,317,232,32,30,47,ai
5,1,5,1,2,5,402,231,34,31,71,ae
5,1,5,1,2,6,482,229,49,32,4,—
5,1,5,1,2,7,609,231,53,39,41,a
5,1,5,1,2,8,687,237,13,6,69,al
2,1,6,0,0,0,94,239,594,2,-1,
3,1,6,1,0,0,94,239,594,2,-1,
4,1,6,1,1,0,94,239,594,2,-1,
5,1,6,1,1,1,94,239,594,2,95, 
2,1,7,0,0,0,706,264,1,18,-1,
3,1,7,1,0,0,706,264,1,18,-1,
4,1,7,1,1,0,706,264,1,18,-1,
5,1,7,1,1,1,706,264,1,18,41,!
2,1,8,0,0,0,24,279,991,128,-1,
3,1,8,1,0,0,24,279,991,127,-1,
4,1,8,1,1,0,24,279,991,84,-1,
5,1,8,1,1,1,24,295,66,50,0,HGS
5,1,8,1,1,2,165,275,70,92,0,SSee
5,1,8,1,1,3,257,275,85,92,0,aol
5,1,8,1,1,4,365,275,69,92,0,geet
5,1,8,1,1,5,494,279,119,64,0,aviceel
5,1,8,1,1,6,618,275,84,92,6,cess!
5,1,8,1,1,7,725,284,51,79,31,sea
5,1,8,1,1,8,817,275,62,92,0,nege
5,1,8,1,1,9,890,290,125,58,6,jen
4,1,8,1,2,0,519,365,119,42,-1,
5,1,8,1,2,1,519,365,119,42,6,——
2,1,9,0,0,0,703,229,1,56,-1,
3,1,9,1,0,0,703,229,1,56,-1,
4,1,9,1,1,0,703,229,1,56,-1,
5,1,9,1,1,1,703,229,1,56,95, 
2,1,10,0,0,0,87,336,888,2,-1,
3,1,10,1,0,0,87,336,888,2,-1,
4,1,10,1,1,0,87,336,888,2,-1,
5,1,10,1,1,1,87,336,888,2,95, 
2,1,11,0,0,0,24,387,140,14,-1,
3,1,11,1,0,0,24,387,140,14,-1,
4,1,11,1,1,0,24,387,140,14,-1,
5,1,11,1,1,1,24,387,23,13,0,1.0
5,1,11,1,1,2,54,387,51,14,25,.05-150Htz
5,1,11,1,1,3,111,387,53,14,34,25mm/sec.
